144;ESCOLA MULTIPLA;SERRA;ES;Privada;De 60% a 80%;Muito Alto;652,49;611,83;721,47;627,64;649,03;647,33
145;CENTRO EDUCACIONAL LATO SENSU;MANAUS;AM;Privada;80% ou mais;Muito Alto;652,47;614,26;702,01;628,87;664,73;735,32
146;COL STA MARCELINA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;652,31;611,41;703,63;635,49;658,7;695,83
147;ESCOLA PARQUE;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;652,28;625,07;699,26;610,56;674,2;751,98
148;GRUPO EDUCACIONAL MOPI LTDA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;652,27;620,23;701,66;628,96;658,22;726,25
149;PORTO SEGURO VISCONDE COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;652,25;615,98;700,18;632,91;659,92;705,49
150;COL TEC INDUSTRIAL PROF ISAAC PORTAL ROLDAN UNESP;BAURU;SP;Estadual;80% ou mais;Muito Alto;651,85;615,32;712,21;624,81;655,05;684,57
151;COLEGIO MILITAR DE CURITIBA;CURITIBA;PR;Federal;De 60% a 80%;Muito Alto;650,96;604,18;719,03;633,35;647,28;711,45
152;COLEGIO LUMIERE;DOURADOS;MS;Privada;80% ou mais;Muito Alto;650,93;621,68;681,34;634,63;666,05;735
153;SAO LUIS COLEGIO EIFM;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;650,91;617,46;699,81;627,05;659,32;760,47
154;ASSOCIACAO JESUITA DE EDUCACAO E ASSISTENCIA SOCIAL;JUIZ DE FORA;MG;Privada;80% ou mais;Muito Alto;650,89;603,6;702,24;626,58;671,12;761,83
155;ALFA DE UMUARAMA C E F M;UMUARAMA;PR;Privada;Menos de 20%;Alto;650,87;611,84;702,33;632,05;657,27;718
156;COLEGIO SAO FRANCISCO DE SALES;TERESINA;PI;Privada;80% ou mais;Alto;650,77;617,9;686,85;628,48;669,87;783,75
157;COL DOM BOSCO;RESENDE;RJ;Privada;De 60% a 80%;Muito Alto;650,41;600,5;723,78;624,11;653,23;703,27
158;COL GENOMA;GOVERNADOR VALADARES;MG;Privada;De 60% a 80%;Muito Alto;650,03;609,61;687,41;634,77;668,34;793,04
159;COL IMPULSO;SETE LAGOAS;MG;Privada;De 60% a 80%;Muito Alto;649,75;613,33;694,18;636,37;655,12;790,12
160;ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO;FORTALEZA;CE;Privada;De 40% a 60%;Muito Alto;649,35;600,99;706,36;638,92;651,13;751,05
161;COLEGIO TRILINGUE INOVACAO;CHAPECO;SC;Privada;De 60% a 80%;Alto;649,01;615,82;708,82;625,27;646,11;691,3
162;DOM BARRETO COLEGIO;CAMPINAS;SP;Privada;80% ou mais;Muito Alto;648,98;611,61;692,91;629,35;662,03;735,45
163;MAGNO COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;648,93;596,42;729,13;630,64;639,53;667,88
164;CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS - CAMPUS DIVINOPOLIS;DIVINOPOLIS;MG;Federal;80% ou mais;Alto;648,86;605,65;709,47;619,14;661,19;724,95
165;COLEGIO PH;RIO DE JANEIRO;RJ;Privada;De 40% a 60%;Muito Alto;648,76;612,79;690,34;626,64;665,26;778,88
166;CED SIGMA;BRASILIA;DF;Privada;De 60% a 80%;Muito Alto;648,66;614,77;698,82;627,63;653,41;665,37
167;COLEGIO ANGLO BRASILEIRO;SALVADOR;BA;Privada;80% ou mais;Muito Alto;648,64;609,34;703,69;630,01;651,54;773,79
168;CENTRO DE EDUCACAO INTEGRADA LTDA - MATRIZ;NATAL;RN;Privada;80% ou mais;Muito Alto;648,55;604,85;690,63;639,04;659,7;772,52
169;COLEGUIUM - UNIDADE ALIPIO DE MELO;BELO HORIZONTE;MG;Privada;Menos de 20%;Sem informação;648,48;609,34;707,13;616,09;661,36;729,73
170;SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO;SAO CARLOS;SP;Privada;80% ou mais;Sem informação;648,1;606,79;685,2;640,43;660;700,69
171;COLEGIO LEONARDO DA VINCI-ALFA;PORTO ALEGRE;RS;Privada;80% ou mais;Muito Alto;647,95;617,14;703,72;614,25;656,68;710,65
172;CENTRO EDUCACIONAL FREI SERAFICO;SAO JOAO DEL REI;MG;Privada;De 60% a 80%;Muito Alto;647,88;612,46;693,29;623,92;661,88;836,3
173;ANTARES COLEGIO;AMERICANA;SP;Privada;80% ou mais;Muito Alto;647,82;612,46;697,23;623,59;657,99;705
174;CENTRO HIPARCO DE ENSINO;JUIZ DE FORA;MG;Privada;Menos de 20%;Sem informação;647,75;600,31;714,66;617,62;658,43;761,25
175;COLEGIO SALESIANO JARDIM CAMBURI;VITORIA;ES;Privada;80% ou mais;Muito Alto;647,7;614,76;700,73;613,26;662,06;673,24
176;RENOVACAO COLEGIO;INDAIATUBA;SP;Privada;80% ou mais;Muito Alto;647,6;607,09;701,19;631,34;650,8;656,92
177;COLEGIO ANCHIETA;NOVA FRIBURGO;RJ;Privada;80% ou mais;Muito Alto;647,52;608,55;687,06;630,84;663,63;733,82
178;CED SIGMA - ASA NORTE;BRASILIA;DF;Privada;De 60% a 80%;Muito Alto;647,3;615,08;696,41;623,99;653,73;661,66
179;CIDADE DE BRAGANCA PTA COLEGIO;BRAGANCA PAULISTA;SP;Privada;De 60% a 80%;Muito Alto;647,23;599,62;710;620,54;658,74;689,14
180;ESCOLA AUTONOMIA;FLORIANOPOLIS;SC;Privada;Menos de 20%;Sem informação;647,12;615,75;693,64;615,35;663,73;683,11
